ts	http_loading_time
2021-06-01 00:04:41	1303.0
2021-06-01 00:09:41	1300.0
2021-06-01 00:14:41	1303.0
2021-06-01 00:19:41	1302.0
2021-06-01 00:24:41	1305.0
2021-06-01 00:29:41	1301.0
2021-06-01 00:34:41	1303.0
2021-06-01 00:39:41	1301.0
2021-06-01 00:44:41	1323.0
2021-06-01 00:49:41	1299.0
2021-06-01 00:54:41	1301.0
2021-06-01 00:59:41	1300.0
2021-06-01 01:04:41	1298.0
2021-06-01 01:09:41	1299.0
2021-06-01 01:14:41	1299.0
2021-06-01 01:19:41	1300.0
2021-06-01 01:24:41	1302.0
2021-06-01 01:29:41	1302.0
2021-06-01 01:34:41	1300.0
2021-06-01 01:39:41	1300.0
2021-06-01 01:44:41	1298.0
2021-06-01 01:49:41	1300.0
2021-06-01 01:54:41	1300.0
2021-06-01 01:59:41	1301.0
2021-06-01 02:04:41	1301.0
2021-06-01 02:09:41	1303.0
2021-06-01 02:14:41	1303.0
2021-06-01 02:19:41	1301.0
2021-06-01 02:24:41	1302.0
2021-06-01 02:29:41	1300.0
2021-06-01 02:34:41	1302.0
2021-06-01 02:39:41	1301.0
2021-06-01 02:44:41	1301.0
2021-06-01 02:49:41	1307.0
2021-06-01 02:54:41	1299.0
2021-06-01 02:59:41	1301.0
2021-06-01 03:04:41	1311.0
2021-06-01 03:09:41	1311.0
2021-06-01 03:14:41	1310.0
2021-06-01 03:19:41	1325.0
2021-06-01 03:24:41	1320.0
2021-06-01 03:29:41	1323.0
2021-06-01 03:34:41	1321.0
2021-06-01 03:39:41	1323.0
2021-06-01 03:44:41	1320.0
2021-06-01 03:49:41	1323.0
2021-06-01 03:54:41	1320.0
2021-06-01 03:59:41	1324.0
2021-06-01 04:04:41	1320.0
2021-06-01 04:09:41	1321.0
2021-06-01 04:14:41	1326.0
2021-06-01 04:19:41	1323.0
2021-06-01 04:24:41	1321.0
2021-06-01 04:29:41	1321.0
2021-06-01 04:34:41	1347.0
2021-06-01 04:39:41	1322.0
2021-06-01 04:44:41	1322.0
2021-06-01 04:49:41	1323.0
2021-06-01 04:54:41	1325.0
2021-06-01 04:59:41	1321.0
2021-06-01 05:04:41	1319.0
2021-06-01 05:09:41	1319.0
2021-06-01 05:14:41	1319.0
2021-06-01 05:19:41	1340.0
2021-06-01 05:24:41	1321.0
2021-06-01 05:29:41	1324.0
2021-06-01 05:34:41	1323.0
2021-06-01 05:39:41	1319.0
2021-06-01 05:44:41	1340.0
2021-06-01 05:49:41	1322.0
2021-06-01 05:54:41	1322.0
2021-06-01 05:59:41	1334.0
2021-06-01 06:04:41	1321.0
2021-06-01 06:09:41	1321.0
2021-06-01 06:14:41	1322.0
2021-06-01 06:19:41	1374.0
2021-06-01 06:24:41	1321.0
2021-06-01 06:29:41	1322.0
2021-06-01 06:34:41	1324.0
2021-06-01 06:39:41	1322.0
2021-06-01 06:44:41	1321.0
2021-06-01 06:49:41	1319.0
2021-06-01 06:54:41	1321.0
2021-06-01 06:59:41	1322.0
2021-06-01 07:04:41	1321.0
2021-06-01 07:09:41	1322.0
2021-06-01 07:14:41	1323.0
2021-06-01 07:19:41	1324.0
2021-06-01 07:24:41	1322.0
2021-06-01 07:29:41	1323.0
2021-06-01 07:34:41	1328.0
2021-06-01 07:39:41	1320.0
2021-06-01 07:44:41	1321.0
