ts	httpadvanced_download_bandwidth
2021-06-01 00:09:40	29538.0
2021-06-01 00:19:41	26165.0
2021-06-01 00:29:40	27153.0
2021-06-01 00:39:41	23525.0
2021-06-01 00:49:41	25724.0
2021-06-01 00:59:41	25213.0
2021-06-01 01:09:41	25275.0
2021-06-01 01:19:44	
2021-06-01 01:19:51	30798.0
2021-06-01 01:29:41	23406.0
2021-06-01 01:39:41	24201.0
2021-06-01 01:49:41	24803.0
2021-06-01 01:59:41	23127.0
2021-06-01 02:09:41	23454.0
2021-06-01 02:19:42	22541.0
2021-06-01 02:29:41	25674.0
2021-06-01 02:39:42	22468.0
2021-06-01 02:49:42	22689.0
2021-06-01 02:59:41	23467.0
2021-06-01 03:09:41	25019.0
2021-06-01 03:19:41	23680.0
2021-06-01 03:29:42	21973.0
2021-06-01 03:39:41	22912.0
2021-06-01 03:49:40	30247.0
2021-06-01 03:59:41	23406.0
2021-06-01 04:09:41	24019.0
2021-06-01 04:19:40	27818.0
2021-06-01 04:29:39	30215.0
2021-06-01 04:39:41	23913.0
2021-06-01 04:49:41	24396.0
2021-06-01 04:59:41	24438.0
2021-06-01 05:09:42	22142.0
2021-06-01 05:19:41	23936.0
2021-06-01 05:29:40	27751.0
2021-06-01 05:39:40	27503.0
2021-06-01 05:49:40	28522.0
2021-06-01 05:59:40	27574.0
2021-06-01 06:09:40	27890.0
2021-06-01 06:19:40	28186.0
2021-06-01 06:29:40	28058.0
2021-06-01 06:39:41	22348.0
2021-06-01 06:49:40	29217.0
2021-06-01 06:59:41	24106.0
2021-06-01 07:09:40	28574.0
2021-06-01 07:19:40	27127.0
2021-06-01 07:29:40	27029.0
2021-06-01 07:39:40	27495.0
2021-06-01 07:49:41	24259.0
2021-06-01 07:59:40	27631.0
2021-06-01 08:09:40	27649.0
2021-06-01 08:19:40	26260.0
2021-06-01 08:29:39	29731.0
2021-06-01 08:39:40	28555.0
2021-06-01 08:49:40	28837.0
2021-06-01 08:59:40	24979.0
2021-06-01 09:09:40	24767.0
2021-06-01 09:19:40	26228.0
2021-06-01 09:29:41	24204.0
2021-06-01 09:39:41	23384.0
2021-06-01 09:49:40	25383.0
2021-06-01 09:59:41	23422.0
2021-06-01 10:09:40	25135.0
2021-06-01 10:19:40	26662.0
2021-06-01 10:29:39	30110.0
2021-06-01 10:39:40	25812.0
2021-06-01 10:49:39	28764.0
2021-06-01 10:59:39	28972.0
2021-06-01 11:09:39	28846.0
2021-06-01 11:19:39	28265.0
2021-06-01 11:29:39	31047.0
2021-06-01 11:39:39	29953.0
2021-06-01 11:49:39	28953.0
2021-06-01 11:59:39	30236.0
2021-06-01 12:09:39	30445.0
2021-06-01 12:19:39	30488.0
2021-06-01 12:29:39	29685.0
2021-06-01 12:39:40	27013.0
2021-06-01 12:49:40	25594.0
2021-06-01 12:59:39	29322.0
2021-06-01 13:09:39	30488.0
2021-06-01 13:19:39	30683.0
2021-06-01 13:29:39	30402.0
2021-06-01 13:39:40	26907.0
2021-06-01 13:49:39	27269.0
2021-06-01 13:59:39	27782.0
2021-06-01 14:09:40	25473.0
2021-06-01 14:19:41	22839.0
2021-06-01 14:29:39	31278.0
2021-06-01 14:39:39	29272.0
2021-06-01 14:49:39	31409.0
2021-06-01 14:59:39	30439.0
2021-06-01 15:09:39	30509.0
2021-06-01 15:19:39	30284.0
2021-06-01 15:29:39	30466.0
2021-06-01 15:39:39	29700.0
2021-06-01 15:49:39	30488.0
2021-06-01 15:59:39	30375.0
2021-06-01 16:09:39	30688.0
2021-06-01 16:19:39	30162.0
2021-06-01 16:29:39	30585.0
2021-06-01 16:39:39	30068.0
2021-06-01 16:49:39	26161.0
2021-06-01 16:59:39	30542.0
2021-06-01 17:09:38	31541.0
2021-06-01 17:19:38	31645.0
2021-06-01 17:29:39	28683.0
2021-06-01 17:39:39	29969.0
2021-06-01 17:49:38	30798.0
2021-06-01 17:59:39	30274.0
2021-06-01 18:09:38	30639.0
2021-06-01 18:19:39	30215.0
2021-06-01 18:29:38	31420.0
2021-06-01 18:39:38	31340.0
2021-06-01 18:49:38	30434.0
2021-06-01 18:59:38	30290.0
2021-06-01 19:09:39	28664.0
2021-06-01 19:19:39	28674.0
2021-06-01 19:29:38	29963.0
2021-06-01 19:39:38	30699.0
2021-06-01 19:49:38	31558.0
2021-06-01 19:59:38	30215.0
2021-06-01 20:09:38	30776.0
2021-06-01 20:19:39	25789.0
2021-06-01 20:29:39	25863.0
2021-06-01 20:39:38	30504.0
2021-06-01 20:49:39	26861.0
2021-06-01 20:59:38	30231.0
2021-06-01 21:09:38	30903.0
2021-06-01 21:19:38	30089.0
2021-06-01 21:29:39	26141.0
2021-06-01 21:39:38	30152.0
2021-06-01 21:49:38	31289.0
2021-06-01 21:59:38	30402.0
2021-06-01 22:09:38	30073.0
2021-06-01 22:19:38	31581.0
2021-06-01 22:29:38	30809.0
2021-06-01 22:39:38	31098.0
2021-06-01 22:49:38	30531.0
2021-06-01 22:59:38	30311.0
2021-06-01 23:09:39	26882.0
2021-06-01 23:19:39	27166.0
2021-06-01 23:29:39	26389.0
2021-06-01 23:39:39	25917.0
2021-06-01 23:49:39	25511.0
2021-06-01 23:59:38	30574.0
2021-06-02 00:09:38	31008.0
2021-06-02 00:19:38	30958.0
2021-06-02 00:29:38	30737.0
2021-06-02 00:39:38	30498.0
2021-06-02 00:49:38	30601.0
2021-06-02 00:59:38	30439.0
2021-06-02 01:09:38	30047.0
2021-06-02 01:19:38	30991.0
2021-06-02 01:29:38	30875.0
2021-06-02 01:39:37	34368.0
2021-06-02 01:49:38	29327.0
2021-06-02 01:59:37	32881.0
2021-06-02 02:09:39	26563.0
2021-06-02 02:19:38	30941.0
2021-06-02 02:29:38	30607.0
2021-06-02 02:39:38	29711.0
2021-06-02 02:49:40	23004.0
2021-06-02 02:59:38	31529.0
2021-06-02 03:09:38	30120.0
2021-06-02 03:19:38	31495.0
2021-06-02 03:29:38	30215.0
2021-06-02 03:39:38	30672.0
2021-06-02 03:49:38	31478.0
2021-06-02 03:59:38	31182.0
2021-06-02 04:09:37	32540.0
2021-06-02 04:19:38	31053.0
2021-06-02 04:29:38	30094.0
2021-06-02 04:39:38	31403.0
2021-06-02 04:49:38	30052.0
2021-06-02 04:59:38	31426.0
2021-06-02 05:09:38	30710.0
2021-06-02 05:19:38	30210.0
2021-06-02 05:29:38	30683.0
2021-06-02 05:39:38	29247.0
