ts	http_loading_time
2021-06-01 00:04:28	32.0
2021-06-01 00:14:28	39.0
2021-06-01 00:24:28	40.0
2021-06-01 00:34:28	37.0
2021-06-01 00:44:28	38.0
2021-06-01 00:54:28	39.0
2021-06-01 01:04:28	46.0
2021-06-01 01:14:28	28.0
2021-06-01 01:24:28	37.0
2021-06-01 01:34:28	30.0
2021-06-01 01:44:28	36.0
2021-06-01 01:54:28	36.0
2021-06-01 02:04:28	39.0
2021-06-01 02:14:28	36.0
2021-06-01 02:24:28	36.0
2021-06-01 02:34:28	38.0
2021-06-01 02:44:28	36.0
2021-06-01 02:54:28	38.0
2021-06-01 03:04:28	28.0
2021-06-01 03:14:28	41.0
2021-06-01 03:24:28	39.0
2021-06-01 03:34:28	37.0
2021-06-01 03:44:28	40.0
2021-06-01 03:54:28	36.0
2021-06-01 04:04:28	39.0
2021-06-01 04:14:28	40.0
2021-06-01 04:24:28	39.0
2021-06-01 04:34:28	38.0
2021-06-01 04:44:28	39.0
2021-06-01 04:54:28	40.0
2021-06-01 05:04:28	36.0
2021-06-01 05:14:28	39.0
2021-06-01 05:24:28	37.0
2021-06-01 05:34:28	35.0
2021-06-01 05:44:28	38.0
2021-06-01 05:54:28	39.0
2021-06-01 06:04:28	37.0
2021-06-01 06:14:28	38.0
2021-06-01 06:24:28	37.0
2021-06-01 06:34:28	37.0
2021-06-01 06:44:28	33.0
2021-06-01 06:54:28	39.0
2021-06-01 07:04:28	39.0
2021-06-01 07:14:28	36.0
2021-06-01 07:24:28	33.0
2021-06-01 07:34:28	37.0
2021-06-01 07:44:28	37.0
2021-06-01 07:54:28	36.0
2021-06-01 08:04:28	37.0
2021-06-01 08:14:28	38.0
2021-06-01 08:24:28	36.0
2021-06-01 08:34:28	37.0
2021-06-01 08:44:28	35.0
2021-06-01 08:54:28	38.0
2021-06-01 09:04:28	36.0
2021-06-01 09:14:28	37.0
2021-06-01 09:24:28	40.0
2021-06-01 09:34:28	37.0
2021-06-01 09:44:28	36.0
2021-06-01 09:54:28	38.0
2021-06-01 10:04:28	36.0
2021-06-01 10:14:28	40.0
2021-06-01 10:24:28	38.0
2021-06-01 10:34:28	40.0
2021-06-01 10:44:28	38.0
2021-06-01 10:54:28	39.0
2021-06-01 11:04:28	38.0
2021-06-01 11:14:28	39.0
2021-06-01 11:24:28	39.0
2021-06-01 11:34:28	38.0
2021-06-01 11:44:28	34.0
2021-06-01 11:54:28	66.0
2021-06-01 12:04:28	31.0
2021-06-01 12:14:28	37.0
2021-06-01 12:24:28	38.0
2021-06-01 12:34:28	37.0
2021-06-01 12:44:28	41.0
2021-06-01 12:54:28	38.0
2021-06-01 13:04:28	39.0
2021-06-01 13:14:28	30.0
2021-06-01 13:24:28	39.0
2021-06-01 13:34:28	38.0
2021-06-01 13:44:28	38.0
2021-06-01 13:54:28	37.0
