ts	cloudhttp_asia_pacific_tokyo_response_time
2021-06-01 00:08:53	126.0
2021-06-01 00:18:53	594.0
2021-06-01 00:28:53	133.0
2021-06-01 00:38:53	89.0
2021-06-01 00:48:53	375.0
2021-06-01 00:58:53	74.0
2021-06-01 01:08:53	195.0
2021-06-01 01:18:53	133.0
2021-06-01 01:28:53	208.0
2021-06-01 01:38:53	457.0
2021-06-01 01:48:53	364.0
2021-06-01 01:58:53	473.0
2021-06-01 02:08:53	969.0
2021-06-01 02:18:53	81.0
2021-06-01 02:28:53	210.0
2021-06-01 02:38:53	204.0
2021-06-01 02:48:53	812.0
2021-06-01 02:58:53	6.0
2021-06-01 03:08:53	89.0
2021-06-01 03:18:53	52.0
2021-06-01 03:28:53	246.0
2021-06-01 03:38:53	653.0
2021-06-01 03:48:53	404.0
2021-06-01 03:58:53	307.0
2021-06-01 04:08:53	192.0
2021-06-01 04:18:53	191.0
2021-06-01 04:28:53	92.0
2021-06-01 04:38:53	188.0
2021-06-01 04:48:53	87.0
2021-06-01 04:58:53	805.0
2021-06-01 05:08:53	95.0
2021-06-01 05:18:53	284.0
2021-06-01 05:28:53	153.0
2021-06-01 05:38:53	183.0
2021-06-01 05:48:53	504.0
2021-06-01 05:57:43	260.0
2021-06-01 06:07:43	149.0
2021-06-01 06:17:43	120.0
2021-06-01 06:27:43	160.0
2021-06-01 06:37:43	213.0
2021-06-01 06:47:43	23.0
2021-06-01 06:57:43	201.0
2021-06-01 07:07:43	44.0
2021-06-01 07:17:43	266.0
2021-06-01 07:27:43	102.0
2021-06-01 07:37:43	38.0
2021-06-01 07:47:43	68.0
2021-06-01 07:57:43	141.0
2021-06-01 08:07:43	28.0
2021-06-01 08:17:43	907.0
2021-06-01 08:27:43	79.0
2021-06-01 08:37:43	34.0
2021-06-01 08:47:43	51.0
2021-06-01 08:57:43	850.0
2021-06-01 09:07:43	69.0
2021-06-01 09:17:43	113.0
2021-06-01 09:27:43	42.0
2021-06-01 09:37:43	174.0
2021-06-01 09:47:43	998.0
2021-06-01 09:57:43	255.0
2021-06-01 10:07:43	105.0
2021-06-01 10:17:43	933.0
2021-06-01 10:27:43	940.0
2021-06-01 10:37:43	517.0
2021-06-01 10:47:43	216.0
2021-06-01 10:57:43	63.0
2021-06-01 11:07:43	267.0
2021-06-01 11:17:43	962.0
2021-06-01 11:27:43	177.0
2021-06-01 11:37:43	308.0
2021-06-01 11:47:43	133.0
2021-06-01 11:57:43	204.0
