ts	wmiprocessor_total
2021-06-01 00:01:15	0.1136
2021-06-01 00:03:15	0.1096
2021-06-01 00:05:15	0.0617
2021-06-01 00:07:15	0.129
2021-06-01 00:09:15	0.1084
2021-06-01 00:11:15	0.1164
2021-06-01 00:13:15	0.1191
2021-06-01 00:15:15	0.0616
2021-06-01 00:17:15	0.0965
2021-06-01 00:19:15	0.1077
2021-06-01 00:21:15	0.1094
2021-06-01 00:23:15	0.1421
2021-06-01 00:25:15	0.1084
2021-06-01 00:27:15	0.0716
2021-06-01 00:29:15	0.1255
2021-06-01 00:31:15	0.101
2021-06-01 00:33:15	0.1222
2021-06-01 00:35:15	0.1032
2021-06-01 00:37:15	0.0631
2021-06-01 00:39:15	0.1433
2021-06-01 00:41:15	0.1038
2021-06-01 00:43:15	0.1174
2021-06-01 00:45:15	0.1022
2021-06-01 00:47:15	0.1089
2021-06-01 00:49:15	0.08
2021-06-01 00:51:15	0.0934
2021-06-01 00:53:15	0.1101
2021-06-01 00:55:15	0.1314
2021-06-01 00:57:15	0.1092
2021-06-01 00:59:15	0.073
2021-06-01 01:01:15	0.0895
2021-06-01 01:03:15	0.1213
2021-06-01 01:05:15	0.1086
2021-06-01 01:07:15	0.1057
2021-06-01 01:09:15	0.1187
2021-06-01 01:11:15	0.1027
2021-06-01 01:13:15	0.1044
2021-06-01 01:15:15	0.0969
2021-06-01 01:17:15	0.1085
2021-06-01 01:19:15	0.1238
2021-06-01 01:21:15	0.0685
2021-06-01 01:23:15	0.1138
2021-06-01 01:25:15	0.1074
2021-06-01 01:27:15	0.1244
2021-06-01 01:29:15	0.1163
2021-06-01 01:31:15	0.101
2021-06-01 01:33:15	0.08
2021-06-01 01:35:15	0.1059
2021-06-01 01:37:15	0.0948
2021-06-01 01:39:15	0.1218
2021-06-01 01:41:15	0.0853
2021-06-01 01:43:15	0.1176
2021-06-01 01:45:15	0.0927
2021-06-01 01:47:15	0.1331
2021-06-01 01:49:15	0.11
2021-06-01 01:51:15	0.1056
2021-06-01 01:53:15	0.1085
2021-06-01 01:55:15	0.0679
2021-06-01 01:57:15	0.0943
