ts	snmpmemory_available_memory
2021-06-01 00:00:03	71581696.0
2021-06-01 00:05:03	70565888.0
2021-06-01 00:10:03	66629632.0
2021-06-01 00:15:03	64835584.0
2021-06-01 00:20:03	65613824.0
2021-06-01 00:25:03	65359872.0
2021-06-01 00:30:03	65359872.0
2021-06-01 00:35:03	84987904.0
2021-06-01 00:40:03	85037056.0
2021-06-01 00:45:03	84914176.0
2021-06-01 00:50:03	84660224.0
2021-06-01 00:55:03	84406272.0
2021-06-01 01:00:03	84152320.0
2021-06-01 01:05:03	83771392.0
2021-06-01 01:10:03	83263488.0
2021-06-01 01:15:03	83263488.0
2021-06-01 01:20:03	82755584.0
2021-06-01 01:25:03	82493440.0
2021-06-01 01:30:03	82501632.0
2021-06-01 01:35:03	82120704.0
2021-06-01 01:40:03	81993728.0
2021-06-01 01:45:03	81993728.0
2021-06-01 01:50:03	83263488.0
2021-06-01 01:55:03	83136512.0
2021-06-01 02:00:03	83136512.0
2021-06-01 02:05:03	82501632.0
2021-06-01 02:10:03	81866752.0
2021-06-01 02:15:03	81358848.0
2021-06-01 02:20:03	80977920.0
2021-06-01 02:25:03	79835136.0
2021-06-01 02:30:03	79708160.0
2021-06-01 02:35:03	79327232.0
2021-06-01 02:40:03	79200256.0
2021-06-01 02:45:03	79073280.0
2021-06-01 02:50:03	79073280.0
2021-06-01 02:55:03	78819328.0
2021-06-01 03:00:03	78565376.0
2021-06-01 03:05:03	76898304.0
2021-06-01 03:10:03	77422592.0
2021-06-01 03:15:03	77422592.0
2021-06-01 03:20:03	77168640.0
2021-06-01 03:25:03	76881920.0
2021-06-01 03:30:03	76914688.0
2021-06-01 03:35:03	75120640.0
2021-06-01 03:40:03	75501568.0
2021-06-01 03:45:03	76279808.0
2021-06-01 03:50:03	76025856.0
2021-06-01 03:55:03	76025856.0
2021-06-01 04:00:03	75644928.0
2021-06-01 04:05:03	75264000.0
2021-06-01 04:10:03	73175040.0
2021-06-01 04:15:03	74240000.0
2021-06-01 04:20:03	73859072.0
2021-06-01 04:25:03	73613312.0
2021-06-01 04:30:03	73359360.0
2021-06-01 04:35:03	73138176.0
2021-06-01 04:40:03	73105408.0
2021-06-01 04:45:03	73105408.0
2021-06-01 04:50:03	72851456.0
2021-06-01 04:55:03	72851456.0
2021-06-01 05:00:03	71684096.0
2021-06-01 05:05:03	72216576.0
2021-06-01 05:10:03	71454720.0
2021-06-01 05:15:03	71327744.0
2021-06-01 05:20:03	71200768.0
2021-06-01 05:25:03	71168000.0
2021-06-01 05:30:03	69914624.0
2021-06-01 05:35:03	70565888.0
2021-06-01 05:40:03	70311936.0
2021-06-01 05:45:03	69406720.0
2021-06-01 05:50:03	70311936.0
2021-06-01 05:55:03	70057984.0
2021-06-01 06:00:03	68517888.0
2021-06-01 06:05:03	69423104.0
2021-06-01 06:10:03	68661248.0
2021-06-01 06:15:03	68661248.0
2021-06-01 06:20:03	117821440.0
2021-06-01 06:25:03	109314048.0
2021-06-01 06:30:03	108298240.0
2021-06-01 06:35:03	107536384.0
2021-06-01 06:40:03	107282432.0
2021-06-01 06:45:03	107315200.0
2021-06-01 06:50:03	105996288.0
2021-06-01 06:55:03	106647552.0
2021-06-01 07:00:03	106393600.0
2021-06-01 07:05:03	105504768.0
2021-06-01 07:10:03	104607744.0
2021-06-01 07:15:03	104615936.0
2021-06-01 07:20:03	104235008.0
2021-06-01 07:25:03	103313408.0
2021-06-01 07:30:03	103092224.0
2021-06-01 07:35:03	102711296.0
2021-06-01 07:40:03	101773312.0
2021-06-01 07:45:03	102551552.0
2021-06-01 07:50:03	102424576.0
2021-06-01 07:55:03	100519936.0
2021-06-01 08:00:03	98234368.0
2021-06-01 08:05:03	97345536.0
2021-06-01 08:10:03	93409280.0
2021-06-01 08:15:03	92250112.0
2021-06-01 08:20:03	93028352.0
2021-06-01 08:25:03	92393472.0
2021-06-01 08:30:03	92012544.0
2021-06-01 08:35:03	112283648.0
2021-06-01 08:40:03	110252032.0
2021-06-01 08:45:03	109490176.0
2021-06-01 08:50:03	108466176.0
2021-06-01 08:55:03	105639936.0
2021-06-01 09:00:03	106426368.0
2021-06-01 09:05:03	105672704.0
2021-06-01 09:10:03	103251968.0
2021-06-01 09:15:03	103878656.0
