sensortype,sensor_description,channels
,,snmpcpu_processor_27
,,snmpcpu_processor_28
,,snmpcpu_processor_29
,,snmpcpu_processor_30
,,snmpcpu_processor_31
,,snmpcpu_processor_32
snmpdellsonicwallsystemhealth,https://www.paessler.com/manuals/prtg/snmp_sonicwall_system_health_sensor,snmpdellsonicwallsystemhealth_memory_usage
,,snmpdellsonicwallsystemhealth_cpu_usage
,,snmpdellsonicwallsystemhealth_connection_cache_usage
snmpdiskfree,https://www.paessler.com/manuals/prtg/snmp_disk_free_sensor,snmpdiskfree_total
,,snmpdiskfree_free_space
snmphardwarestatus,https://www.paessler.com/manuals/prtg/snmp_hardware_status_sensor,snmphardwarestatus_status_running
snmplinuxdiskfree,https://www.paessler.com/manuals/prtg/snmp_linux_disk_free_sensor,snmplinuxdiskfree_total
,,snmplinuxdiskfree_free_bytes_xvda1
,,snmplinuxdiskfree_free_space_xvda1
snmplinuxloadavg,https://www.paessler.com/manuals/prtg/snmp_linux_load_average_sensor,snmplinuxloadavg__1_minute
,,snmplinuxloadavg__5_minutes
,,snmplinuxloadavg__15_minutes
snmplinuxmeminfo,https://www.paessler.com/manuals/prtg/snmp_linux_meminfo_sensor,snmplinuxmeminfo_percent_available_memory
,,snmplinuxmeminfo_available_memory
,,snmplinuxmeminfo_physical_free_percent
,,snmplinuxmeminfo_swap_free_percent
,,snmplinuxmeminfo_total_free_percent
snmplinuxphysicaldisk,https://www.paessler.com/manuals/prtg/snmp_linux_physical_disk_sensor,snmplinuxphysicaldisk_bytes_read_speed
,,snmplinuxphysicaldisk_bytes_written_speed
,,snmplinuxphysicaldisk_read_accesses_speed
,,snmplinuxphysicaldisk_write_accesses_speed
,,snmplinuxphysicaldisk_load_average1_minute
,,snmplinuxphysicaldisk_load_average5_minute
,,snmplinuxphysicaldisk_load_average15_minute
snmpmemory,https://www.paessler.com/manuals/prtg/snmp_memory_sensor,snmpmemory_total_memory
,,snmpmemory_available_memory
,,snmpmemory_percent_available_memory
